feature_id	axis	display_label	proposed_figure_family	n_independent_datasets	datasets	dataset_effects	n_positive_datasets	n_negative_datasets	dominant_direction	weighted_directional_coherence	median_effect	median_absolute_effect	max_absolute_effect	n_FDR10_datasets	n_moderate_effect_datasets	n_large_effect_datasets	validation_class	independent_evidence_priority_score	n_non_tiny_concordant_moderate_datasets	biological_priority	preterm_vs_term_effect	preterm_tissue_coherence	preterm_direction	infection_outcome_relation	refined_preterm_effect_class	refined_infection_outcome_relation	manuscript_claim_priority
LEPTIN_SIGNALING	adipokine_signaling	Leptin signaling	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.3544;GSE186800:0.7289;GSE252321:0.9901;GSE280297:0.3395	4	0	positive	1.0	0.541669623390839	0.541669623390839	0.9900621618745398	1	2	1	one_FDR_dataset_plus_independent_concordant_effect	13.041669623390838	1.0	robust_core	-0.7524117043029656	1.0	negative	direction_reversal	negative	direction_reversal	primary_mechanistic_result_with_state_dependent_reversal
TLR4_LPS_SIGNALING_ANCHOR	immune_context_anchors	TLR4-LPS signaling anchor	Integrated_network	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.2496;GSE186800:0.3427;GSE252321:0.5280;GSE280297:0.5387	4	0	positive	1.0	0.4353389423735531	0.4353389423735531	0.538690474302069	1	2	0	one_FDR_dataset_plus_independent_concordant_effect	10.435338942373551	1.0	robust_core	-0.0580089231599877	1.0	negative	direction_reversal	near_neutral	pregnancy_near_neutral	primary_mechanistic_result_without_material_pregnancy_outcome_shift
PI3K_AKT_SIGNALING	insulin_irs_signaling	PI3K-AKT signaling	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.3307;GSE186800:0.7117;GSE252321:0.5145;GSE280297:0.1040	4	0	positive	1.0	0.4225934839620864	0.4225934839620864	0.7116572012171	1	2	0	one_FDR_dataset_plus_independent_concordant_effect	10.422593483962086	1.0	robust_core	-0.6352753686157185	1.0	negative	direction_reversal	negative	direction_reversal	primary_mechanistic_result_with_state_dependent_reversal
COMPLEMENT_C3A_C5A_SIGNALING	complement_architecture	C3a and C5a inflammatory signaling	Figure_10	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.5287;GSE186800:-0.0500;GSE252321:1.2720;GSE280297:0.0681	3	1	positive	0.6923076923076923	0.298388616388004	0.298388616388004	1.271995088268732	1	2	1	one_FDR_dataset_plus_independent_concordant_effect	12.490696308695696	0.0	provisional_core_exploratory_dependent	-0.4971530114341522	0.6666666666666666	negative	direction_reversal	negative	direction_reversal	secondary_result_pending_celltype_reconstruction_with_state_dependent_reversal
COMPLEMENT_OPSONOPHAGOCYTOSIS	complement_architecture	Complement-opsonophagocytosis	Figure_10	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.5414;GSE186800:-0.4518;GSE252321:0.6107;GSE280297:0.4246	3	1	positive	0.6923076923076923	0.4829852364211686	0.4965995723953375	0.6106585347065031	1	2	0	one_FDR_dataset_plus_independent_concordant_effect	10.18890726470303	0.0	provisional_core_exploratory_dependent	0.2878657120830686	1.0	positive	direction_preserved	positive	direction_preserved	secondary_result_pending_celltype_reconstruction
GLYCOGEN_SYNTHESIS	carbohydrate_inflammatory_carbon	Glycogen synthesis	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1062;GSE186800:0.5936;GSE252321:1.6018;GSE280297:-0.0040	3	1	positive	0.6923076923076923	0.3499072114078969	0.3499072114078969	1.601768502216392	0	2	1	two_dataset_concordant_effect	7.542214903715589	1.0	secondary	-0.3027964300522092	0.6666666666666666	negative	direction_reversal	negative	direction_reversal	supporting_mechanistic_result_with_state_dependent_reversal
AMINO_ACID_TRANSPORT	amino_acid_metabolism	Amino-acid transport	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1404;GSE186800:0.5415;GSE252321:1.5424;GSE280297:-0.0779	3	1	positive	0.6923076923076923	0.3409446146827993	0.3409446146827993	1.5424044949776037	0	2	1	two_dataset_concordant_effect	7.533252306990492	1.0	secondary	-0.9110329763420932	1.0	negative	direction_reversal	negative	direction_reversal	supporting_mechanistic_result_with_state_dependent_reversal
FATTY_ACID_SYNTHESIS	lipid_metabolism	Fatty-acid synthesis	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1915;GSE186800:0.5714;GSE252321:-0.5137;GSE280297:0.2247	3	1	positive	0.9230769230769232	0.2080725269100141	0.3692213160050505	0.5714152946126717	0	2	0	two_dataset_concordant_effect	5.2922982390819735	1.0	secondary	-0.501122242204225	1.0	negative	direction_reversal	negative	direction_reversal	supporting_mechanistic_result_with_state_dependent_reversal
INSULIN_RECEPTOR_IRS	insulin_irs_signaling	Insulin receptor and IRS signaling	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1896;GSE186800:0.6586;GSE252321:0.6087;GSE280297:-0.0467	3	1	positive	0.6923076923076923	0.3991139711995472	0.3991139711995472	0.6586311933890442	0	2	0	two_dataset_concordant_effect	5.09142166350724	1.0	secondary	-0.6759836665295377	1.0	negative	direction_reversal	negative	direction_reversal	supporting_mechanistic_result_with_state_dependent_reversal
ANDROGEN_RECEPTOR_SIGNALING	steroid_cholesterol_endocrine	Androgen receptor signaling	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.0904;GSE186800:0.6070;GSE252321:0.5369;GSE280297:0.0072	3	1	positive	0.6923076923076923	0.2720276673114186	0.3136492338473797	0.6070000780702226	0	2	0	two_dataset_concordant_effect	5.005956926155072	1.0	secondary	-0.8043093611651837	1.0	negative	direction_reversal	negative	direction_reversal	supporting_mechanistic_result_with_state_dependent_reversal
