cluster	broad_cell_type	annotation_confidence	top_marker_panel	top_panel_zscore	second_panel_zscore	top_minus_second_margin	cluster_cells_in_balanced_subset
0	NK_cell	high	NK_cell	3.2887580394744873	0.15286009013652802	3.1358979493379593	285
1	mixed_low_confidence	low	urothelial_epithelial	0.2525138258934021	0.1698891669511795	0.0826246589422226	1542
2	mast_cell	high	mast_cell	9.49404239654541	0.22634457051753998	9.26769782602787	73
3	neutrophil	high	neutrophil	1.3813836574554443	0.5580702424049377	0.8233134150505066	743
4	macrophage_monocyte	high	macrophage_monocyte	0.7430030703544617	-0.017028093338012695	0.7600311636924744	367
5	T_cell	high	T_cell	3.2107934951782227	0.13183535635471344	3.078958138823509	474
6	fibroblast	high	fibroblast	1.0956827402114868	0.5363464951515198	0.559336245059967	513
7	mixed_low_confidence	low	B_cell	1.1382001638412476	1.1284338235855103	0.009766340255737305	603
8	NK_cell	high	NK_cell	3.440140724182129	0.11952101439237595	3.320619709789753	271
9	neutrophil	high	neutrophil	2.583217144012451	0.808367133140564	1.7748500108718872	682
10	T_cell	moderate	T_cell	0.28679248690605164	0.041326284408569336	0.2454662024974823	777
11	dendritic	moderate	dendritic	0.7342403531074524	0.5901917219161987	0.14404863119125366	337
12	macrophage_monocyte	high	macrophage_monocyte	1.542007565498352	0.26353418827056885	1.2784733772277832	931
13	dendritic	moderate	dendritic	1.1579573154449463	0.9608132839202881	0.1971440315246582	1064
14	NK_cell	high	NK_cell	3.0718040466308594	0.2851293087005615	2.786674737930298	26
15	macrophage_monocyte	high	macrophage_monocyte	1.7085391283035278	0.06548456847667694	1.643054559826851	467
16	T_cell	high	T_cell	1.9277347326278687	0.047673530876636505	1.8800612017512321	316
17	dendritic	moderate	dendritic	1.3388150930404663	1.0730853080749512	0.26572978496551514	529
