figure	format	source_path	normalized_path	source_filename	normalized_filename	source_prefix_mismatch	size_bytes
Figure_7	png	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_7.png	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.png	UTI_HostOmics_U27A32_Figure_7.png	UTI_HostOmics_U27A4_Figure_7.png	False	602767
Figure_7	svg	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_7.svg	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.svg	UTI_HostOmics_U27A32_Figure_7.svg	UTI_HostOmics_U27A4_Figure_7.svg	False	123369
Figure_7	pdf	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_7.pdf	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.pdf	UTI_HostOmics_U27A32_Figure_7.pdf	UTI_HostOmics_U27A4_Figure_7.pdf	False	45281
Figure_8	png	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_8.png	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.png	UTI_HostOmics_U27A32_Figure_8.png	UTI_HostOmics_U27A4_Figure_8.png	False	555532
Figure_8	svg	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_8.svg	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.svg	UTI_HostOmics_U27A32_Figure_8.svg	UTI_HostOmics_U27A4_Figure_8.svg	False	84021
Figure_8	pdf	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_8.pdf	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.pdf	UTI_HostOmics_U27A32_Figure_8.pdf	UTI_HostOmics_U27A4_Figure_8.pdf	False	38766
Figure_9	png	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_9.png	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_9.png	UTI_HostOmics_U27A32_Figure_9.png	UTI_HostOmics_U27A4_Figure_9.png	False	616489
Figure_9	svg	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_9.svg	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_9.svg	UTI_HostOmics_U27A32_Figure_9.svg	UTI_HostOmics_U27A4_Figure_9.svg	False	135262
Figure_9	pdf	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_9.pdf	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_9.pdf	UTI_HostOmics_U27A32_Figure_9.pdf	UTI_HostOmics_U27A4_Figure_9.pdf	False	44801
Figure_10	png	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_10.png	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.png	UTI_HostOmics_U27A32_Figure_10.png	UTI_HostOmics_U27A4_Figure_10.png	False	559225
Figure_10	svg	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_10.svg	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.svg	UTI_HostOmics_U27A32_Figure_10.svg	UTI_HostOmics_U27A4_Figure_10.svg	False	108422
Figure_10	pdf	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_10.pdf	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.pdf	UTI_HostOmics_U27A32_Figure_10.pdf	UTI_HostOmics_U27A4_Figure_10.pdf	False	48960
Figure_11	png	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A3_Figure_11.png	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.png	UTI_HostOmics_U27A3_Figure_11.png	UTI_HostOmics_U27A4_Figure_11.png	True	502258
Figure_11	svg	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A3_Figure_11.svg	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.svg	UTI_HostOmics_U27A3_Figure_11.svg	UTI_HostOmics_U27A4_Figure_11.svg	True	80272
Figure_11	pdf	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A3_Figure_11.pdf	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.pdf	UTI_HostOmics_U27A3_Figure_11.pdf	UTI_HostOmics_U27A4_Figure_11.pdf	True	42159
