path	filename	format	exists	size_bytes	png_width_px	png_height_px
project://06_figures/phaseU27B2C2B_final_figures_1_to_4_rebuild/UTI_HostOmics_U27B2C2B_Figure_1.png	UTI_HostOmics_U27B2C2B_Figure_1.png	png	True	415384	2125	2670
project://06_figures/phaseU27B2C2B_final_figures_1_to_4_rebuild/UTI_HostOmics_U27B2C2B_Figure_1.svg	UTI_HostOmics_U27B2C2B_Figure_1.svg	svg	True	197479		
project://06_figures/phaseU27B2C2B_final_figures_1_to_4_rebuild/UTI_HostOmics_U27B2C2B_Figure_1.pdf	UTI_HostOmics_U27B2C2B_Figure_1.pdf	pdf	True	40881		
project://06_figures/phaseU27B2C2B_final_figures_1_to_4_rebuild/UTI_HostOmics_U27B2C2B_Figure_2.png	UTI_HostOmics_U27B2C2B_Figure_2.png	png	True	510955	2125	2880
project://06_figures/phaseU27B2C2B_final_figures_1_to_4_rebuild/UTI_HostOmics_U27B2C2B_Figure_2.svg	UTI_HostOmics_U27B2C2B_Figure_2.svg	svg	True	277707		
project://06_figures/phaseU27B2C2B_final_figures_1_to_4_rebuild/UTI_HostOmics_U27B2C2B_Figure_2.pdf	UTI_HostOmics_U27B2C2B_Figure_2.pdf	pdf	True	59131		
project://06_figures/phaseU27B2C2B_final_figures_1_to_4_rebuild/UTI_HostOmics_U27B2C2B_Figure_3.png	UTI_HostOmics_U27B2C2B_Figure_3.png	png	True	607330	2125	3330
project://06_figures/phaseU27B2C2B_final_figures_1_to_4_rebuild/UTI_HostOmics_U27B2C2B_Figure_3.svg	UTI_HostOmics_U27B2C2B_Figure_3.svg	svg	True	298374		
project://06_figures/phaseU27B2C2B_final_figures_1_to_4_rebuild/UTI_HostOmics_U27B2C2B_Figure_3.pdf	UTI_HostOmics_U27B2C2B_Figure_3.pdf	pdf	True	47865		
project://06_figures/phaseU27B2C2B_final_figures_1_to_4_rebuild/UTI_HostOmics_U27B2C2B_Figure_4.png	UTI_HostOmics_U27B2C2B_Figure_4.png	png	True	725362	2125	3300
project://06_figures/phaseU27B2C2B_final_figures_1_to_4_rebuild/UTI_HostOmics_U27B2C2B_Figure_4.svg	UTI_HostOmics_U27B2C2B_Figure_4.svg	svg	True	1851392		
project://06_figures/phaseU27B2C2B_final_figures_1_to_4_rebuild/UTI_HostOmics_U27B2C2B_Figure_4.pdf	UTI_HostOmics_U27B2C2B_Figure_4.pdf	pdf	True	225136		
