section	heading_body_index	content_start_body_index	content_end_body_index	content_elements	content_paragraphs	content_tables	word_count
Front matter		0	8	9	9	0	71
Abstract	9	10	13	4	4	0	233
Introduction	14	15	19	5	5	0	303
Methods	20	21	44	24	24	0	1364
Results	45	46	72	27	27	0	1575
Discussion	73	74	87	14	14	0	498
Limitations	88	89	89	1	1	0	88
Future directions	90	91	91	1	1	0	68
Concluding model	92	93	93	1	1	0	54
Data availability	94	95	95	1	1	0	45
Code availability	96	97	97	1	1	0	32
Ethics statement	98	99	99	1	1	0	30
Author contributions	100	101	101	1	1	0	33
Competing interests	102	103	103	1	1	0	8
Funding	104	105	105	1	1	0	7
Acknowledgements	106	107	107	1	1	0	6
Supplementary tables	108	109	116	8	8	0	148
Reference gap register	117	118	128	11	11	0	131
Figures	129	130	149	20	18	2	1431
Reference table	150	151	152	2	1	1	405
